Size\Density, 20%, 33%, 50%
80,1.6777216,0.0,0.0
160,1.6777216,0.8388608,1.6777216
320,5.0331645,5.8720255,5.0331645
640,22.649246,28.52127,44.459633
1280,170.28873,350.6438,633.3399
